0.0 -4.41 -5.13 -2.93
0.1 -6.90 -16.82 2.53
0.2 -17.93 -21.21 27.09
0.3 -13.28 -0.64 31.30
0.4 -4.18 3.01 17.65
0.5 1.48 1.96 11.40
0.6 0.17 1.59 7.70
0.7 0.94 2.64 3.98
0.8 3.72 5.91 3.82
0.9 6.83 13.86 7.36
1.0 15.44 19.28 20.53
1.1 13.54 10.70 28.57
1.2 6.79 1.72 20.31
1.3 3.91 1.76 13.51
1.4 5.26 7.14 9.48
1.5 5.10 10.30 10.57
1.6 11.21 15.96 15.92
1.7 14.78 14.13 27.37
1.8 9.64 3.18 24.26
1.9 6.03 5.23 17.14
2.0 6.26 7.36 11.30
2.1 7.95 11.64 14.39
2.2 11.85 14.65 17.59
2.3 13.28 11.26 23.83
2.4 11.63 6.38 22.48
2.5 6.58 7.92 17.20
2.6 5.87 8.37 12.42
2.7 9.68 12.33 16.69
2.8 10.53 13.09 20.21
2.9 9.53 9.03 20.37
3.0 8.54 6.74 18.85
